Title,Description,Phase,Priority,Estimated Hours,Start Date,Due Date,Labels,Status
Levantamiento de Información y Análisis de Requisitos,"Reuniones con el equipo de auditoría para identificar necesidades funcionales y no funcionales del sistema. Análisis del flujo manual actual de planificación, ejecución y generación de informes de auditoría. Revisión de documentación oficial de Next.js, Supabase y arquitectura general del sistema.",Análisis y Requisitos,High,20,2025-11-18,2025-11-22,"Analysis;Planning;Documentation",Backlog
Diseño y Modelado de Base de Datos,"Diseño del modelo entidad-relación para el sistema de auditoría. Migración de estructuras de hojas de cálculo a PostgreSQL mediante Supabase. Normalización de la Matriz de Observaciones y definición de relaciones entre auditorías, hallazgos, usuarios y estados.",Diseño del Sistema,High,18,2025-11-18,2025-11-22,"Database;Backend;Supabase",Backlog
Configuración Inicial del Proyecto Frontend,"Inicialización del entorno de desarrollo utilizando Next.js. Configuración de dependencias, estructura de carpetas, rutas principales y conexión inicial con Supabase.",Desarrollo Frontend,Medium,10,2025-11-25,2025-11-27,"Frontend;NextJS;Setup",Backlog
Maquetación de Interfaces Principales,"Diseño y construcción de vistas principales para los roles de Auditor Interno y Auditado. Creación de dashboard inicial, navegación lateral y formularios base utilizando componentes reutilizables.",Desarrollo Frontend,High,15,2025-11-25,2025-11-29,"Frontend;UIUX;NextJS",Backlog
Implementación de Formularios Dinámicos,"Desarrollo de formularios inteligentes para registro y actualización de hallazgos de auditoría. Validaciones de campos, manejo de estados y almacenamiento automático en Supabase.",Desarrollo Backend y Lógica,High,16,2025-12-02,2025-12-04,"Forms;Backend;Supabase",Backlog
Desarrollo de Paneles de Seguimiento,"Construcción de paneles de visualización para monitoreo de estados de observaciones y seguimiento de cumplimiento por parte del auditado.",Desarrollo Backend y Lógica,Medium,14,2025-12-04,2025-12-06,"Dashboard;Frontend;Analytics",Backlog
Configuración de Automatizaciones en n8n,"Diseño e implementación de workflows automáticos en n8n para detección de nuevos registros, actualización de estados y envío inicial de notificaciones.",Automatización,High,18,2025-12-09,2025-12-13,"Automation;n8n;Workflow",Backlog
Programación de Alertas y Recordatorios,"Configuración de Cron Jobs y disparadores automáticos para envío de alertas de vencimiento a 90, 60 y 30 días. Automatización de notificaciones de cierre mensual.",Automatización,High,12,2025-12-16,2025-12-20,"Automation;CronJobs;Notifications",Backlog
Implementación de Seguridad y Validaciones,"Aplicación de validaciones finales en formularios y control de acceso mediante Row Level Security (RLS) en Supabase. Configuración de permisos según roles de usuario.",Seguridad y Optimización,High,15,2025-12-23,2025-12-27,"Security;Validation;Supabase",Backlog
Optimización de Plantillas de Correo,"Diseño y mejora de plantillas HTML para correos automáticos enviados desde n8n relacionados con alertas, notificaciones y estados de auditoría.",Seguridad y Optimización,Medium,8,2025-12-23,2025-12-27,"Email;n8n;Templates",Backlog
Integración con Google Drive y Google Docs API,"Conexión del sistema con APIs de Google para generación automática de informes de auditoría en formato Word y almacenamiento organizado en Google Drive.",Integración de Servicios,High,16,2025-12-30,2026-01-03,"API;GoogleDocs;Integration",Backlog
Pruebas Funcionales del Sistema,"Ejecución de pruebas funcionales sobre formularios, workflows automáticos, autenticación, generación documental y paneles de seguimiento.",Pruebas y Validación,High,10,2026-01-10,2026-01-14,"Testing;QA;Validation",Backlog
Validación con Usuarios Finales,"Presentación del prototipo funcional al equipo de auditoría para recopilar retroalimentación sobre usabilidad, experiencia de usuario y funcionamiento general.",Pruebas y Validación,Medium,8,2026-01-17,2026-01-19,"Feedback;Users;Testing",Backlog
Capacitación y Ajustes Finales,"Capacitación básica al equipo usuario sobre el funcionamiento del sistema y aplicación de mejoras menores derivadas de las pruebas realizadas.",Implementación Final,Medium,6,2026-01-19,2026-01-20,"Training;Deployment;Support",Backlog
Documentación Técnica y Cierre del Proyecto,"Elaboración de documentación técnica y funcional del sistema desarrollado, incluyendo arquitectura, flujos automatizados y manual básico de usuario.",Cierre del Proyecto,Medium,12,2026-01-20,2026-01-22,"Documentation;ProjectClosure",Backlog
