Issue id,Issue key,Issue Type,Summary,Project key,Project name,Creator,Created,Updated,Description,Priority,Status,Start Date,Due Date,Labels
1,AUD-1,Task,Levantamiento de Información y Análisis de Requisitos,AUD,Sistema Auditoría,davide,2026-04-06,2026-04-10,"Reuniones con el equipo de auditoría para identificar necesidades funcionales y no funcionales del sistema. Análisis del flujo manual actual de planificación, ejecución y generación de informes. Revisión de documentación oficial de Next.js, Supabase y arquitectura tecnológica del proyecto.",High,To Do,2026-04-06,2026-04-10,"analysis,planning,requirements"
2,AUD-2,Task,Diseño y Modelado de Base de Datos,AUD,Sistema Auditoría,davide,2026-04-13,2026-04-17,"Diseño del modelo entidad-relación para el sistema de auditorías. Migración de estructuras de hojas de cálculo hacia PostgreSQL mediante Supabase. Normalización de la matriz de observaciones y definición de relaciones entre usuarios, auditorías y hallazgos.",High,To Do,2026-04-13,2026-04-17,"database,backend,supabase"
3,AUD-3,Task,Configuración Inicial del Proyecto Frontend,AUD,Sistema Auditoría,davide,2026-04-20,2026-04-24,"Inicialización del entorno de desarrollo utilizando Next.js. Configuración de dependencias, estructura base del proyecto, conexión inicial con Supabase y organización de componentes principales.",Medium,To Do,2026-04-20,2026-04-24,"frontend,nextjs,setup"
4,AUD-4,Task,Maquetación de Interfaces Principales,AUD,Sistema Auditoría,davide,2026-04-27,2026-05-01,"Diseño y construcción de interfaces principales para los roles de Auditor Interno y Auditado. Implementación de dashboard inicial, navegación lateral y vistas de acceso al sistema.",High,To Do,2026-04-27,2026-05-01,"frontend,uiux,dashboard"
5,AUD-5,Task,Implementación de Formularios Dinámicos,AUD,Sistema Auditoría,davide,2026-05-04,2026-05-08,"Desarrollo de formularios dinámicos para registro y actualización de hallazgos de auditoría. Implementación de validaciones, control de errores y conexión con la base de datos.",High,To Do,2026-05-04,2026-05-08,"forms,backend,supabase"
6,AUD-6,Task,Desarrollo de Paneles de Seguimiento,AUD,Sistema Auditoría,davide,2026-05-11,2026-05-15,"Construcción de paneles de visualización para seguimiento de estados, observaciones pendientes, cumplimiento de actividades y métricas generales del sistema.",Medium,To Do,2026-05-11,2026-05-15,"dashboard,analytics,frontend"
7,AUD-7,Task,Configuración de Automatizaciones en n8n,AUD,Sistema Auditoría,davide,2026-05-18,2026-05-22,"Diseño e implementación de workflows automáticos en n8n para detectar eventos en la base de datos y generar notificaciones automáticas a los usuarios correspondientes.",High,To Do,2026-05-18,2026-05-22,"automation,n8n,workflow"
8,AUD-8,Task,Programación de Alertas y Recordatorios,AUD,Sistema Auditoría,davide,2026-05-25,2026-05-29,"Configuración de cron jobs y disparadores automáticos para envío de alertas de vencimiento, recordatorios periódicos y notificaciones de cierre mensual.",High,To Do,2026-05-25,2026-05-29,"automation,cronjobs,notifications"
9,AUD-9,Task,Implementación de Seguridad y Validaciones,AUD,Sistema Auditoría,davide,2026-06-01,2026-06-05,"Aplicación de políticas de seguridad mediante Row Level Security en Supabase. Validación de formularios, protección de rutas y control de acceso según roles.",High,To Do,2026-06-01,2026-06-05,"security,validation,supabase"
10,AUD-10,Task,Optimización de Plantillas de Correo,AUD,Sistema Auditoría,davide,2026-06-08,2026-06-12,"Diseño y optimización de plantillas HTML utilizadas para correos automáticos relacionados con alertas, notificaciones y seguimiento de auditorías.",Medium,To Do,2026-06-08,2026-06-12,"email,templates,n8n"
11,AUD-11,Task,Integración con Google Drive y Google Docs API,AUD,Sistema Auditoría,davide,2026-06-15,2026-06-19,"Conexión del sistema con las APIs de Google Drive y Google Docs para automatizar la generación y almacenamiento de informes de auditoría en formato Word.",High,To Do,2026-06-15,2026-06-19,"integration,api,googledocs"
12,AUD-12,Task,Implementación de Reportes y Exportaciones,AUD,Sistema Auditoría,davide,2026-06-22,2026-06-26,"Desarrollo de funcionalidades para exportación de reportes de auditoría en formatos PDF y Word. Generación automática de documentos descargables.",Medium,To Do,2026-06-22,2026-06-26,"reports,pdf,documents"
13,AUD-13,Task,Pruebas Funcionales del Sistema,AUD,Sistema Auditoría,davide,2026-06-29,2026-07-03,"Ejecución de pruebas funcionales sobre formularios, workflows automáticos, autenticación, generación documental y paneles de visualización.",High,To Do,2026-06-29,2026-07-03,"testing,qa,validation"
14,AUD-14,Task,Corrección de Errores y Optimización General,AUD,Sistema Auditoría,davide,2026-07-06,2026-07-10,"Corrección de errores detectados durante las pruebas funcionales y optimización del rendimiento general del sistema.",High,To Do,2026-07-06,2026-07-10,"bugfix,optimization,performance"
15,AUD-15,Task,Validación con Usuarios Finales,AUD,Sistema Auditoría,davide,2026-07-13,2026-07-17,"Presentación del prototipo funcional al equipo de auditoría para recopilar retroalimentación relacionada con usabilidad, experiencia de usuario y funcionamiento general.",Medium,To Do,2026-07-13,2026-07-17,"feedback,users,testing"
16,AUD-16,Task,Capacitación y Ajustes Finales,AUD,Sistema Auditoría,davide,2026-07-20,2026-07-24,"Capacitación básica al equipo usuario sobre el funcionamiento del sistema y aplicación de mejoras menores derivadas de las observaciones recibidas.",Medium,To Do,2026-07-20,2026-07-24,"training,support,deployment"
17,AUD-17,Task,Documentación Técnica del Proyecto,AUD,Sistema Auditoría,davide,2026-07-27,2026-07-31,"Elaboración de documentación técnica y funcional del sistema, incluyendo arquitectura tecnológica, workflows automatizados y manual de usuario.",Medium,To Do,2026-07-27,2026-07-31,"documentation,technical,manual"
18,AUD-18,Task,Cierre y Entrega Final del Proyecto,AUD,Sistema Auditoría,davide,2026-08-03,2026-08-07,"Revisión final del proyecto, validación completa de entregables y preparación de evidencias para presentación académica y cierre formal del sistema.",Medium,To Do,2026-08-03,2026-08-07,"closure,delivery,final"
